uid expr treatment rep update lineage_label
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19900 4.46684
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20000 4.45878
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20100 4.46867
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20200 4.45566
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20300 4.45168
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20400 4.4589
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20500 4.45567
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20600 4.46252
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20700 4.46412
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20800 4.46366
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 20900 4.47336
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21000 4.47878
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21100 4.47364
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21200 4.47103
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21300 4.47341
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21400 4.47566
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21500 4.48655
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21600 4.49136
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21700 4.48964
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21800 4.49289
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 21900 4.49476
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22000 4.5036
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22100 4.50114
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22200 4.50275
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22300 4.50753
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22400 4.50808
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22500 4.51276
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22600 4.51347
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22700 4.50482
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22800 4.50761
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 22900 4.51565
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23000 4.52209
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23100 4.52321
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23200 4.52951
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23300 4.52341
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23400 4.5114
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23500 4.52252
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23600 4.52776
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23700 4.51581
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23800 4.5154
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 23900 4.50969
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24000 4.51528
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24100 4.49721
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24200 4.49642
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24300 4.50115
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24400 4.50172
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24500 4.50052
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24600 4.50981
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24700 4.50925
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24800 4.50219
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 24900 4.50663
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25000 4.50253
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25100 4.50324
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25200 4.50554
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25300 4.50187
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25400 4.5028
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25500 4.49646
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25600 4.4942
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25700 4.48514
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25800 4.48555
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 25900 4.4815
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26000 4.48731
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26100 4.49153
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26200 4.48694
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26300 4.48197
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26400 4.4709
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26500 4.47672
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26600 4.47333
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26700 4.48672
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26800 4.50181
